,Gender,Age,Debt,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Income,Approved,Married_u,Married_y,BankCustomer_gg,BankCustomer_p,Citizen_p,Citizen_s
0,0.0,58.67,4.46,0.6538461538461539,0.6304347826086957,3.04,1,1,6,0,560,1,1,0,0,0,0,0
1,0.0,24.5,0.5,0.6538461538461539,0.6304347826086957,1.5,1,0,0,0,824,1,1,0,0,0,0,0
2,1.0,27.83,1.54,0.5079365079365079,0.4221105527638191,3.75,1,1,5,1,3,1,1,0,0,0,0,0
3,1.0,20.17,5.625,0.5079365079365079,0.4221105527638191,1.71,1,0,0,0,0,1,1,0,0,0,0,1
4,1.0,32.08,4.0,0.42105263157894735,0.4221105527638191,2.5,1,0,0,1,0,1,1,0,0,0,0,0
5,1.0,33.17,1.04,0.6666666666666666,0.6304347826086957,6.5,1,0,0,1,31285,1,1,0,0,0,0,0
6,0.0,22.92,11.585,0.7073170731707317,0.4221105527638191,0.04,1,0,0,0,1349,1,1,0,0,0,0,0
7,1.0,54.42,0.5,0.27450980392156865,0.6304347826086957,3.96,1,0,0,0,314,1,0,1,0,1,0,0
8,1.0,42.5,4.915,0.5079365079365079,0.4221105527638191,3.165,1,0,0,1,1442,1,0,1,0,1,0,0
9,1.0,22.08,0.83,0.45255474452554745,0.6304347826086957,2.165,0,0,0,1,0,1,1,0,0,0,0,0
10,1.0,29.92,1.835,0.45255474452554745,0.6304347826086957,4.335,1,0,0,0,200,1,1,0,0,0,0,0
11,0.0,38.25,6.0,0.27450980392156865,0.4221105527638191,1.0,1,0,0,1,0,1,1,0,0,0,0,0
12,1.0,48.08,6.04,0.27450980392156865,0.4221105527638191,0.04,0,0,0,0,2690,1,1,0,0,0,0,0
13,0.0,45.83,10.5,0.6538461538461539,0.4221105527638191,5.0,1,1,7,1,0,1,1,0,0,0,0,0
14,1.0,36.67,4.415,0.27450980392156865,0.4221105527638191,0.25,1,1,10,1,0,1,0,1,0,1,0,0
15,1.0,28.25,0.875,0.42105263157894735,0.4221105527638191,0.96,1,1,3,1,0,1,1,0,0,0,0,0
16,0.0,23.25,5.875,0.6538461538461539,0.4221105527638191,3.17,1,1,10,0,245,1,1,0,0,0,0,0
17,1.0,21.83,0.25,0.23333333333333334,0.6304347826086957,0.665,1,0,0,1,0,1,1,0,0,0,0,0
18,0.0,19.17,8.585,0.7073170731707317,0.6304347826086957,0.75,1,1,7,0,0,1,1,0,0,0,0,0
19,1.0,25.0,11.25,0.45255474452554745,0.4221105527638191,2.5,1,1,17,0,1208,1,1,0,0,0,0,0
20,1.0,23.25,1.0,0.45255474452554745,0.4221105527638191,0.835,1,0,0,0,0,1,1,0,0,0,0,1
21,0.0,47.75,8.0,0.45255474452554745,0.4221105527638191,7.875,1,1,6,1,1260,1,1,0,0,0,0,0
22,0.0,27.42,14.5,0.8421052631578947,0.6304347826086957,3.085,1,1,1,0,11,1,1,0,0,0,0,0
23,0.0,41.17,6.5,0.6538461538461539,0.4221105527638191,0.5,1,1,3,1,0,1,1,0,0,0,0,0
24,0.0,15.83,0.585,0.45255474452554745,0.6304347826086957,1.5,1,1,2,0,0,1,1,0,0,0,0,0
25,0.0,47.0,13.0,0.23728813559322035,0.423728813559322,5.165,1,1,9,1,0,1,1,0,0,0,0,0
26,1.0,56.58,18.5,0.23333333333333334,0.423728813559322,15.0,1,1,17,1,0,1,1,0,0,0,0,0
27,1.0,57.42,8.5,0.56,0.6304347826086957,7.0,1,1,3,0,0,1,1,0,0,0,0,0
28,1.0,42.08,1.04,0.5079365079365079,0.4221105527638191,5.0,1,1,6,1,10000,1,1,0,0,0,0,0
29,1.0,29.25,14.79,0.35185185185185186,0.4221105527638191,5.04,1,1,5,1,0,1,1,0,0,0,0,0
30,1.0,42.0,9.79,0.8421052631578947,0.6304347826086957,7.96,1,1,8,0,0,1,1,0,0,0,0,0
31,1.0,49.5,7.585,0.23728813559322035,0.423728813559322,7.585,1,1,15,1,5000,1,1,0,0,0,0,0
32,0.0,36.75,5.125,0.56,0.4221105527638191,5.0,1,0,0,1,4000,1,1,0,0,0,0,0
33,0.0,22.58,10.75,0.6538461538461539,0.4221105527638191,0.415,1,1,5,1,560,1,1,0,0,0,0,0
34,1.0,27.83,1.5,0.5079365079365079,0.4221105527638191,2.0,1,1,11,1,35,1,1,0,0,0,0,0
35,1.0,27.25,1.585,0.7073170731707317,0.6304347826086957,1.835,1,1,12,1,713,1,1,0,0,0,0,0
36,0.0,23.0,11.75,0.8421052631578947,0.6304347826086957,0.5,1,1,2,1,551,1,1,0,0,0,0,0
37,1.0,27.75,0.585,0.7073170731707317,0.4221105527638191,0.25,1,1,2,0,500,1,0,1,0,1,0,0
38,1.0,54.58,9.415,0.1320754716981132,0.14035087719298245,14.415,1,1,11,1,300,1,1,0,0,0,0,0
39,1.0,34.17,9.17,0.45255474452554745,0.4221105527638191,4.5,1,1,12,1,221,1,1,0,0,0,0,0
40,1.0,28.92,15.0,0.45255474452554745,0.6304347826086957,5.335,1,1,11,0,2283,1,1,0,0,0,0,0
41,1.0,29.67,1.415,0.5079365079365079,0.6304347826086957,0.75,1,1,1,0,100,1,1,0,0,0,0,0
42,1.0,39.58,13.915,0.5079365079365079,0.4221105527638191,8.625,1,1,6,1,0,1,1,0,0,0,0,0
43,1.0,56.42,28.0,0.45255474452554745,0.4221105527638191,28.5,1,1,40,0,15,1,0,1,0,1,0,0
44,1.0,54.33,6.75,0.45255474452554745,0.6304347826086957,2.625,1,1,11,1,284,1,1,0,0,0,0,0
45,0.0,41.0,2.04,0.6538461538461539,0.6304347826086957,0.125,1,1,23,1,1236,1,0,1,0,1,0,0
46,1.0,31.92,4.46,0.7073170731707317,0.6304347826086957,6.04,1,1,3,0,300,1,1,0,0,0,0,0
47,1.0,41.5,1.54,0.23728813559322035,0.423728813559322,3.5,0,0,0,0,0,1,1,0,0,0,0,0
48,1.0,23.92,0.665,0.45255474452554745,0.4221105527638191,0.165,0,0,0,0,0,1,1,0,0,0,0,0
49,0.0,25.75,0.5,0.45255474452554745,0.6304347826086957,0.875,1,0,0,1,0,1,1,0,0,0,0,0
50,1.0,26.0,1.0,0.6538461538461539,0.4221105527638191,1.75,1,0,0,1,0,1,1,0,0,0,0,0
51,1.0,37.42,2.04,0.5079365079365079,0.4221105527638191,0.04,1,0,0,1,5800,1,1,0,0,0,0,0
52,1.0,34.92,2.5,0.5079365079365079,0.4221105527638191,0.0,1,0,0,1,200,1,1,0,0,0,0,0
53,1.0,34.25,3.0,0.7073170731707317,0.6304347826086957,7.415,1,0,0,1,0,1,1,0,0,0,0,0
54,1.0,23.33,11.625,0.5079365079365079,0.4221105527638191,0.835,1,0,0,1,300,1,0,1,0,1,0,0
55,1.0,23.17,0.0,0.7073170731707317,0.4221105527638191,0.085,1,0,0,0,0,1,1,0,0,0,0,0
56,1.0,44.33,0.5,0.23728813559322035,0.6304347826086957,5.0,1,0,0,1,0,1,1,0,0,0,0,0
57,1.0,35.17,4.5,0.8421052631578947,0.6304347826086957,5.75,0,0,0,1,0,1,1,0,0,0,0,1
58,1.0,43.25,3.0,0.6538461538461539,0.6304347826086957,6.0,1,1,11,0,0,1,1,0,0,0,0,0
59,1.0,56.75,12.25,0.42105263157894735,0.4221105527638191,1.25,1,1,4,1,0,1,1,0,0,0,0,0
60,1.0,31.67,16.165,0.23333333333333334,0.4221105527638191,3.0,1,1,9,0,730,1,1,0,0,0,0,0
61,0.0,23.42,0.79,0.6538461538461539,0.4221105527638191,1.5,1,1,2,1,400,1,0,1,0,1,0,0
62,0.0,20.42,0.835,0.6538461538461539,0.4221105527638191,1.585,1,1,1,0,0,1,1,0,0,0,0,0
63,1.0,26.67,4.25,0.7073170731707317,0.4221105527638191,4.29,1,1,1,1,0,1,1,0,0,0,0,0
64,1.0,34.17,1.54,0.7073170731707317,0.4221105527638191,1.54,1,1,1,1,50000,1,1,0,0,0,0,0
65,0.0,36.0,1.0,0.45255474452554745,0.4221105527638191,2.0,1,1,11,0,456,1,1,0,0,0,0,0
66,1.0,25.5,0.375,0.42105263157894735,0.4221105527638191,0.25,1,1,3,0,15108,1,1,0,0,0,0,0
67,1.0,19.42,6.5,0.5079365079365079,0.6304347826086957,1.46,1,1,7,0,2954,1,1,0,0,0,0,0
68,1.0,35.17,25.125,0.8421052631578947,0.6304347826086957,1.625,1,1,1,1,500,1,1,0,0,0,0,0
69,1.0,32.33,7.5,0.56,0.423728813559322,1.585,1,0,0,1,0,0,1,0,0,0,0,1
70,1.0,34.83,4.0,0.23333333333333334,0.423728813559322,12.5,1,0,0,1,0,0,1,0,0,0,0,0
71,0.0,38.58,5.0,0.7073170731707317,0.4221105527638191,13.5,1,0,0,1,0,0,1,0,0,0,0,0
72,1.0,44.25,0.5,0.42105263157894735,0.4221105527638191,10.75,1,0,0,0,0,0,1,0,0,0,0,1
73,1.0,44.83,7.0,0.45255474452554745,0.4221105527638191,1.625,0,0,0,0,2,0,0,1,0,1,0,0
74,1.0,20.67,5.29,0.6538461538461539,0.4221105527638191,0.375,1,1,1,0,0,0,1,0,0,0,0,0
