,PriorDefault,YearsEmployed,CreditScore,Income,Approved
0,1.0,3.04,6.0,560.0,1.0
1,1.0,1.5,0.0,824.0,1.0
2,1.0,3.75,5.0,3.0,1.0
3,1.0,1.71,0.0,0.0,1.0
4,1.0,2.5,0.0,0.0,1.0
5,1.0,6.5,0.0,31285.0,1.0
6,1.0,0.04,0.0,1349.0,1.0
7,1.0,3.96,0.0,314.0,1.0
8,1.0,3.165,0.0,1442.0,1.0
9,0.0,2.165,0.0,0.0,1.0
10,1.0,4.335,0.0,200.0,1.0
11,1.0,1.0,0.0,0.0,1.0
12,0.0,0.04,0.0,2690.0,1.0
13,1.0,5.0,7.0,0.0,1.0
14,1.0,0.25,10.0,0.0,1.0
15,1.0,0.96,3.0,0.0,1.0
16,1.0,3.17,10.0,245.0,1.0
17,1.0,0.665,0.0,0.0,1.0
18,1.0,0.75,7.0,0.0,1.0
19,1.0,2.5,17.0,1208.0,1.0
20,1.0,0.835,0.0,0.0,1.0
21,1.0,7.875,6.0,1260.0,1.0
22,1.0,3.085,1.0,11.0,1.0
23,1.0,0.5,3.0,0.0,1.0
24,1.0,1.5,2.0,0.0,1.0
25,1.0,5.165,9.0,0.0,1.0
26,1.0,15.0,17.0,0.0,1.0
27,1.0,7.0,3.0,0.0,1.0
28,1.0,5.0,6.0,10000.0,1.0
29,1.0,5.04,5.0,0.0,1.0
30,1.0,7.96,8.0,0.0,1.0
31,1.0,7.585,15.0,5000.0,1.0
32,1.0,5.0,0.0,4000.0,1.0
33,1.0,0.415,5.0,560.0,1.0
34,1.0,2.0,11.0,35.0,1.0
35,1.0,1.835,12.0,713.0,1.0
36,1.0,0.5,2.0,551.0,1.0
37,1.0,0.25,2.0,500.0,1.0
38,1.0,14.415,11.0,300.0,1.0
39,1.0,4.5,12.0,221.0,1.0
40,1.0,5.335,11.0,2283.0,1.0
41,1.0,0.75,1.0,100.0,1.0
42,1.0,8.625,6.0,0.0,1.0
43,1.0,28.5,40.0,15.0,1.0
44,1.0,2.625,11.0,284.0,1.0
45,1.0,0.125,23.0,1236.0,1.0
46,1.0,6.04,3.0,300.0,1.0
47,0.0,3.5,0.0,0.0,1.0
48,0.0,0.165,0.0,0.0,1.0
49,1.0,0.875,0.0,0.0,1.0
50,1.0,1.75,0.0,0.0,1.0
51,1.0,0.04,0.0,5800.0,1.0
52,1.0,0.0,0.0,200.0,1.0
53,1.0,7.415,0.0,0.0,1.0
54,1.0,0.835,0.0,300.0,1.0
55,1.0,0.085,0.0,0.0,1.0
56,1.0,5.0,0.0,0.0,1.0
57,0.0,5.75,0.0,0.0,1.0
58,1.0,6.0,11.0,0.0,1.0
59,1.0,1.25,4.0,0.0,1.0
60,1.0,3.0,9.0,730.0,1.0
61,1.0,1.5,2.0,400.0,1.0
62,1.0,1.585,1.0,0.0,1.0
63,1.0,4.29,1.0,0.0,1.0
64,1.0,1.54,1.0,50000.0,1.0
65,1.0,2.0,11.0,456.0,1.0
66,1.0,0.25,3.0,15108.0,1.0
67,1.0,1.46,7.0,2954.0,1.0
68,1.0,1.625,1.0,500.0,1.0
69,1.0,1.585,0.0,0.0,0.0
70,1.0,12.5,0.0,0.0,0.0
71,1.0,13.5,0.0,0.0,0.0
72,1.0,10.75,0.0,0.0,0.0
73,0.0,1.625,0.0,2.0,0.0
74,1.0,0.375,1.0,0.0,0.0
75,1.0,0.125,0.0,0.0,0.0
76,1.0,0.585,0.0,0.0,0.0
77,1.0,2.5,1.0,20.0,0.0
78,1.0,0.25,0.0,0.0,0.0
79,1.0,0.0,1.0,0.0,0.0
80,1.0,2.0,0.0,0.0,0.0
81,1.0,0.25,0.0,0.0,0.0
82,1.0,3.0,0.0,0.0,0.0
83,1.0,0.455,0.0,0.0,0.0
84,1.0,5.0,0.0,0.0,0.0
85,1.0,0.875,0.0,0.0,0.0
86,1.0,4.0,0.0,0.0,0.0
87,1.0,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,27.0,0.0
89,1.0,5.0,0.0,0.0,0.0
90,1.0,0.5,0.0,0.0,0.0
91,1.0,8.5,0.0,0.0,0.0
92,1.0,9.46,0.0,100.0,0.0
93,1.0,1.5,0.0,225.0,0.0
94,1.0,0.5,0.0,0.0,0.0
95,1.0,0.125,0.0,1.0,0.0
96,1.0,0.835,0.0,0.0,0.0
97,1.0,3.0,0.0,0.0,0.0
98,1.0,1.0,2.0,500.0,0.0
99,1.0,0.25,0.0,400.0,0.0
100,1.0,4.0,0.0,0.0,0.0
101,1.0,0.375,2.0,38.0,0.0
102,1.0,2.25,2.0,5.0,0.0
103,1.0,5.75,2.0,0.0,0.0
104,1.0,0.0,20.0,130.0,0.0
105,1.0,0.5,0.0,0.0,0.0
