PriorDefault_t,YearsEmployed,CreditScore,Income,Approved
1,3.04,6,560.0,1
1,1.5,0,824.0,1
1,3.75,5,3.0,1
1,1.71,0,322.15965166908563,1
1,2.5,0,322.15965166908563,1
1,6.5,0,1584.0,1
1,0.04,0,1349.0,1
1,3.96,0,314.0,1
1,3.165,0,1442.0,1
0,2.165,0,322.15965166908563,1
1,4.335,0,200.0,1
1,1.0,0,322.15965166908563,1
0,0.04,0,1584.0,1
1,5.0,7,322.15965166908563,1
1,0.25,10,322.15965166908563,1
1,0.96,3,322.15965166908563,1
1,3.17,10,245.0,1
1,0.665,0,322.15965166908563,1
1,0.75,7,322.15965166908563,1
1,2.5,17,1208.0,1
1,0.835,0,322.15965166908563,1
1,7.875,6,1260.0,1
1,3.085,1,11.0,1
1,0.5,3,322.15965166908563,1
1,1.5,2,322.15965166908563,1
1,5.165,9,322.15965166908563,1
1,10.0,17,322.15965166908563,1
1,7.0,3,322.15965166908563,1
1,5.0,6,1584.0,1
1,5.04,5,322.15965166908563,1
1,7.96,8,322.15965166908563,1
1,7.585,15,1584.0,1
1,5.0,0,1584.0,1
1,0.415,5,560.0,1
1,2.0,11,35.0,1
1,1.835,12,713.0,1
1,0.5,2,551.0,1
1,0.25,2,500.0,1
1,10.0,11,300.0,1
1,4.5,12,221.0,1
1,5.335,11,1584.0,1
1,0.75,1,100.0,1
1,8.625,6,322.15965166908563,1
1,10.0,40,15.0,1
1,2.625,11,284.0,1
1,0.125,23,1236.0,1
1,6.04,3,300.0,1
0,3.5,0,322.15965166908563,1
0,0.165,0,322.15965166908563,1
1,0.875,0,322.15965166908563,1
1,1.75,0,322.15965166908563,1
1,0.04,0,1584.0,1
1,0.0,0,200.0,1
1,7.415,0,322.15965166908563,1
1,0.835,0,300.0,1
1,0.085,0,322.15965166908563,1
1,5.0,0,322.15965166908563,1
0,5.75,0,322.15965166908563,1
1,6.0,11,322.15965166908563,1
1,1.25,4,322.15965166908563,1
1,3.0,9,730.0,1
1,1.5,2,400.0,1
1,1.585,1,322.15965166908563,1
1,4.29,1,322.15965166908563,1
1,1.54,1,1584.0,1
1,2.0,11,456.0,1
1,0.25,3,1584.0,1
1,1.46,7,1584.0,1
1,1.625,1,500.0,1
1,1.585,0,322.15965166908563,0
1,10.0,0,322.15965166908563,0
1,10.0,0,322.15965166908563,0
1,10.0,0,322.15965166908563,0
0,1.625,0,2.0,0
1,0.375,1,322.15965166908563,0
1,0.125,0,322.15965166908563,0
1,0.585,0,322.15965166908563,0
1,2.5,1,20.0,0
1,0.25,0,322.15965166908563,0
1,0.0,1,322.15965166908563,0
1,2.0,0,322.15965166908563,0
1,0.25,0,322.15965166908563,0
1,3.0,0,322.15965166908563,0
1,0.455,0,322.15965166908563,0
1,5.0,0,322.15965166908563,0
1,0.875,0,322.15965166908563,0
1,4.0,0,322.15965166908563,0
1,1.0,0,322.15965166908563,0
1,0.0,0,27.0,0
1,5.0,0,322.15965166908563,0
1,0.5,0,322.15965166908563,0
1,8.5,0,322.15965166908563,0
1,9.46,0,100.0,0
1,1.5,0,225.0,0
1,0.5,0,322.15965166908563,0
1,0.125,0,1.0,0
1,0.835,0,322.15965166908563,0
1,3.0,0,322.15965166908563,0
1,1.0,2,500.0,0
1,0.25,0,400.0,0
1,4.0,0,322.15965166908563,0
1,0.375,2,38.0,0
1,2.25,2,5.0,0
1,5.75,2,322.15965166908563,0
1,0.0,20,130.0,0
1,0.5,0,322.15965166908563,0
1,4.5,0,322.15965166908563,0
1,10.0,0,322.15965166908563,0
1,0.795,5,5.0,0
1,3.5,3,322.15965166908563,0
1,0.5,3,147.0,0
1,0.875,0,322.15965166908563,0
1,1.0,3,322.15965166908563,0
1,1.375,3,210.0,0
1,1.29,2,322.15965166908563,0
1,10.0,7,5.0,0
1,6.29,15,1584.0,1
1,10.0,6,1332.0,1
1,0.335,1,50.0,1
1,0.04,1,300.0,1
1,1.21,67,258.0,1
1,1.5,12,567.0,1
1,7.375,3,322.15965166908563,1
1,8.5,5,322.15965166908563,1
1,7.5,6,1000.0,1
1,2.5,12,1584.0,1
1,2.5,7,809.0,1
1,3.25,2,610.0,1
1,0.835,0,322.15965166908563,1
1,10.0,1,322.15965166908563,1
1,2.25,1,150.0,1
1,6.5,6,1584.0,1
1,2.5,6,367.0,1
1,5.5,12,1000.0,1
1,6.0,0,322.15965166908563,1
1,0.5,3,1000.0,1
1,4.25,6,322.15965166908563,1
1,1.625,6,600.0,1
1,5.0,2,1584.0,1
1,0.625,9,322.15965166908563,1
1,0.0,15,247.0,1
1,1.75,8,375.0,1
1,2.0,1,278.0,1
1,5.085,9,827.0,1
1,2.75,6,1584.0,1
1,2.375,3,582.0,1
1,8.0,14,1584.0,1
1,4.0,7,1584.0,1
1,5.5,14,1584.0,1
1,0.415,11,6.0,1
1,4.0,14,1584.0,1
1,4.25,12,322.15965166908563,1
1,1.085,11,1584.0,1
1,5.5,3,322.15965166908563,1
1,0.0,11,322.15965166908563,1
1,2.54,1,322.15965166908563,1
1,0.0,14,1584.0,1
1,4.165,2,322.15965166908563,1
1,0.04,1,1584.0,1
1,1.0,4,1584.0,1
1,1.75,2,15.0,1
1,1.665,1,20.0,1
1,0.04,0,322.15965166908563,1
1,10.0,0,1584.0,1
1,1.75,0,837.0,1
1,1.0,0,400.0,1
1,0.04,0,1584.0,1
1,9.0,0,639.0,1
0,1.5,0,322.15965166908563,1
1,0.25,0,322.15965166908563,1
1,10.0,0,322.15965166908563,1
1,8.0,0,1584.0,1
1,8.5,0,322.15965166908563,1
1,1.335,0,322.15965166908563,1
1,0.375,0,1065.0,1
1,3.0,0,322.15965166908563,1
1,1.415,0,150.0,1
1,1.21,4,540.0,1
1,1.96,14,158.0,1
1,10.0,20,1584.0,1
1,0.5,4,322.15965166908563,1
1,0.165,3,6.0,1
1,5.5,7,1584.0,1
1,2.585,7,1584.0,1
1,10.0,9,1584.0,1
1,3.5,1,500.0,1
1,5.0,7,1584.0,1
1,2.5,5,1430.0,1
1,1.625,2,322.15965166908563,1
1,3.0,0,322.15965166908563,1
1,5.125,0,322.15965166908563,1
1,2.5,0,600.0,1
1,3.085,6,322.15965166908563,1
1,8.5,7,322.15965166908563,1
1,1.5,8,7.0,1
1,3.165,3,322.15965166908563,1
1,10.0,12,790.0,1
1,2.0,3,560.0,1
1,0.04,9,396.0,1
1,1.25,1,678.0,1
1,2.25,0,300.0,1
1,2.25,6,600.0,1
1,0.71,2,322.15965166908563,1
1,0.085,1,1187.0,1
1,10.0,8,1584.0,1
0,0.0,0,322.15965166908563,1
1,5.665,6,168.0,1
1,4.5,7,1270.0,1
1,6.5,16,1210.0,1
1,10.0,14,322.15965166908563,1
1,5.5,0,322.15965166908563,1
1,10.0,15,1000.0,1
1,3.5,9,742.0,1
1,5.25,1,322.15965166908563,1
1,3.5,0,322.15965166908563,1
1,7.0,8,322.15965166908563,1
1,5.0,5,1584.0,1
1,8.665,5,322.15965166908563,1
1,1.0,4,500.0,1
1,2.29,3,322.15965166908563,1
1,10.0,7,322.15965166908563,1
1,1.375,0,322.15965166908563,1
1,0.085,0,322.15965166908563,1
1,0.125,0,322.15965166908563,1
1,0.25,0,322.15965166908563,1
1,0.5,0,322.15965166908563,1
0,2.46,0,322.15965166908563,1
1,2.0,2,322.15965166908563,1
1,0.665,0,322.15965166908563,1
1,0.625,7,1584.0,1
1,10.0,2,1584.0,1
1,4.5,4,857.0,1
1,5.75,0,500.0,1
1,10.0,13,1584.0,1
1,2.085,5,1584.0,1
1,0.0,0,322.15965166908563,1
1,1.415,1,1584.0,1
1,4.58,0,322.15965166908563,1
1,2.5,6,196.0,1
1,2.5,0,322.15965166908563,1
1,1.75,3,14.0,1
1,10.0,0,322.15965166908563,1
1,2.71,5,1584.0,1
1,1.5,2,300.0,1
1,2.04,1,1584.0,1
1,10.0,1,1584.0,1
1,0.29,11,99.0,1
1,4.75,2,444.0,1
1,0.29,6,322.15965166908563,1
1,10.0,11,1200.0,1
1,5.0,6,322.15965166908563,1
1,1.0,11,1584.0,1
1,0.46,1,322.15965166908563,1
0,0.25,0,1584.0,0
0,1.085,0,13.0,0
0,2.0,0,322.15965166908563,0
0,0.5,0,322.15965166908563,0
0,0.04,0,1000.0,0
0,0.165,0,322.15965166908563,0
0,5.75,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
0,0.335,0,120.0,0
0,0.0,0,32.0,0
0,0.0,0,322.15965166908563,0
0,0.04,0,722.0,0
0,0.0,0,322.15965166908563,0
0,1.25,0,322.15965166908563,0
1,0.125,0,322.15965166908563,1
0,0.21,0,40.0,1
0,0.0,0,322.15965166908563,1
0,1.25,0,322.15965166908563,0
0,0.04,0,322.15965166908563,0
0,0.125,0,322.15965166908563,0
0,2.25,0,322.15965166908563,0
0,0.54,0,322.15965166908563,0
0,0.29,0,484.0,0
0,0.165,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
1,0.085,0,322.15965166908563,0
0,0.25,0,204.0,0
0,0.125,0,1.0,0
0,0.25,0,322.15965166908563,0
0,0.25,1,98.0,0
0,0.125,2,1584.0,0
0,0.165,1,1.0,0
0,0.0,2,105.0,0
0,0.29,1,1584.0,0
0,0.165,1,1.0,0
0,0.0,0,322.15965166908563,0
0,0.5,0,322.15965166908563,0
0,1.0,1,1.0,0
0,0.165,1,444.0,0
0,0.125,2,1.0,0
0,0.0,1,126.0,0
0,3.04,2,4.0,0
0,4.0,1,6.0,0
0,1.75,2,322.15965166908563,0
0,0.665,1,21.0,0
0,3.335,2,173.0,0
0,6.5,1,10.0,0
0,0.25,0,322.15965166908563,0
0,0.5,0,322.15965166908563,0
0,0.085,0,322.15965166908563,0
0,1.5,0,1.0,0
1,0.0,0,322.15965166908563,0
0,4.5,0,25.0,0
0,0.415,0,322.15965166908563,0
0,0.25,0,322.15965166908563,0
0,0.0,0,20.0,0
0,1.0,0,6.0,0
0,2.335,0,6.0,0
0,0.125,0,1.0,0
0,0.415,0,42.0,0
0,0.25,0,322.15965166908563,0
1,0.5,0,322.15965166908563,0
0,0.25,0,204.0,0
0,0.0,0,1584.0,1
0,0.0,0,1.0,1
0,1.5,0,113.0,1
0,1.5,0,8.0,1
0,10.0,0,322.15965166908563,1
0,0.375,0,44.0,1
1,0.25,11,1584.0,1
0,1.165,0,322.15965166908563,0
0,1.0,0,13.0,0
0,0.04,0,179.0,0
0,0.5,0,322.15965166908563,0
0,3.0,0,322.15965166908563,0
0,0.085,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
0,2.5,0,2.0,0
0,1.0,0,16.0,0
0,1.0,0,1062.0,0
0,0.5,0,322.15965166908563,0
0,0.165,0,251.0,0
0,1.0,0,228.0,0
0,0.5,0,322.15965166908563,0
0,2.0,0,322.15965166908563,0
0,0.75,0,67.0,0
0,3.0,0,322.15965166908563,0
0,0.04,0,100.0,0
0,0.5,0,1584.0,0
0,0.0,0,322.15965166908563,0
0,0.5,0,2.0,0
0,0.0,0,12.0,0
0,0.25,0,122.0,0
0,2.5,0,1210.0,0
1,0.585,3,322.15965166908563,0
0,2.25,1,3.0,0
0,0.0,0,1.0,0
0,0.0,0,322.15965166908563,0
0,1.5,0,1584.0,0
0,0.585,0,322.15965166908563,0
0,0.25,0,322.15965166908563,0
0,1.0,2,1.0,0
0,0.165,0,322.15965166908563,0
0,0.04,0,322.15965166908563,0
0,0.165,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
0,5.5,0,322.15965166908563,0
0,0.085,0,1584.0,0
0,0.0,0,322.15965166908563,0
0,0.29,0,322.15965166908563,0
0,0.165,2,1300.0,0
0,10.0,1,112.0,0
0,0.165,0,1000.0,0
0,0.165,0,322.15965166908563,0
0,3.0,0,16.0,0
0,0.75,0,2.0,0
0,7.0,0,322.15965166908563,0
0,0.0,0,1110.0,0
0,1.0,0,322.15965166908563,0
0,0.125,0,322.15965166908563,0
0,0.04,0,1004.0,0
0,1.0,0,322.15965166908563,0
0,0.125,0,286.0,0
0,2.0,0,322.15965166908563,0
0,0.125,0,1584.0,0
0,4.0,0,322.15965166908563,0
0,2.25,0,322.15965166908563,0
0,0.165,0,322.15965166908563,0
0,4.5,0,456.0,0
0,5.0,0,4.0,0
0,1.585,0,1212.0,0
0,1.5,0,322.15965166908563,0
0,0.54,0,67.0,0
0,0.5,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
0,0.085,0,322.15965166908563,0
0,1.0,0,322.15965166908563,0
0,0.21,0,322.15965166908563,0
0,0.25,0,322.15965166908563,0
0,1.0,0,1.0,0
0,0.25,0,195.0,0
0,0.54,0,322.15965166908563,0
0,0.04,0,1.0,0
0,0.125,0,87.0,0
0,1.25,0,17.0,0
0,0.085,0,322.15965166908563,0
0,0.29,0,184.0,0
0,0.29,0,140.0,0
0,3.085,0,322.15965166908563,0
0,0.75,0,322.15965166908563,0
0,1.085,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
0,0.165,2,18.0,0
0,1.0,1,2.0,0
0,0.085,1,6.0,0
0,0.335,4,8.0,0
0,0.0,5,146.0,0
0,1.25,1,22.0,0
0,0.085,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
0,0.125,0,55.0,0
0,3.25,0,322.15965166908563,0
0,0.125,0,70.0,0
0,0.54,0,1.0,0
0,0.375,2,500.0,0
0,0.0,0,60.0,0
0,1.0,0,322.15965166908563,0
0,1.5,0,7.0,0
0,1.75,0,322.15965166908563,0
0,1.165,0,322.15965166908563,0
0,1.5,0,322.15965166908563,0
0,0.25,0,322.15965166908563,0
0,0.25,0,50.0,0
0,0.04,0,5.0,0
0,0.29,0,3.0,0
0,0.085,0,322.15965166908563,0
0,1.5,0,4.0,0
0,0.165,0,1058.0,0
0,0.085,0,322.15965166908563,0
0,0.5,0,322.15965166908563,0
0,2.415,0,322.15965166908563,0
0,0.0,4,1.0,0
0,0.0,3,769.0,0
0,0.0,0,27.0,0
0,0.0,1,300.0,0
0,0.375,2,3.0,0
0,1.0,11,322.15965166908563,0
0,0.0,2,1.0,0
0,0.125,0,322.15965166908563,0
0,0.04,0,40.0,0
0,0.0,0,322.15965166908563,0
0,0.0,0,1584.0,0
0,0.165,0,322.15965166908563,0
0,0.0,0,1.0,0
0,0.0,1,19.0,0
0,0.5,0,322.15965166908563,0
0,7.0,0,1.0,0
0,1.5,0,316.0,0
0,3.5,0,50.0,0
0,0.25,0,322.15965166908563,0
0,3.75,0,350.0,0
0,0.085,0,1584.0,0
0,0.0,0,322.15965166908563,0
0,0.04,0,322.15965166908563,0
0,5.0,0,687.0,0
0,1.5,0,322.15965166908563,0
0,0.0,0,322.15965166908563,0
0,0.085,4,1584.0,0
0,0.125,0,322.15965166908563,0
0,0.0,10,18.0,0
0,0.0,1,53.0,0
0,2.79,1,10.0,0
0,2.5,2,41.0,0
0,0.04,3,33.0,0
0,0.75,0,322.15965166908563,0
0,0.415,0,322.15965166908563,0
0,0.085,0,5.0,0
0,0.04,0,100.0,0
0,0.125,0,100.0,0
0,1.0,0,1000.0,0
0,0.125,0,44.0,0
0,0.75,0,322.15965166908563,0
0,0.085,0,5.0,0
0,10.0,0,322.15965166908563,0
0,0.415,0,322.15965166908563,0
0,0.085,0,322.15965166908563,0
0,0.165,6,35.0,0
0,0.415,1,80.0,0
0,1.75,10,10.0,0
0,0.04,2,6.0,0
0,1.165,0,322.15965166908563,0
0,0.04,2,351.0,0
0,0.085,0,1584.0,0
0,0.04,0,475.0,0
0,0.0,0,1.0,0
0,0.125,0,322.15965166908563,0
1,2.75,1,892.0,1
1,4.625,2,1584.0,1
1,6.5,14,1584.0,1
1,6.0,0,322.15965166908563,1
1,3.0,0,322.15965166908563,1
1,1.5,0,1584.0,1
1,1.04,0,1584.0,1
1,1.665,3,28.0,1
1,1.46,5,322.15965166908563,1
1,1.625,3,1391.0,1
1,5.0,3,1584.0,1
1,3.5,10,322.15965166908563,1
1,0.0,1,100.0,1
1,4.75,2,7.0,1
1,1.085,1,322.15965166908563,1
1,7.0,16,1584.0,1
1,0.75,2,591.0,1
1,1.835,19,500.0,1
1,2.0,1,19.0,1
1,2.25,1,300.0,1
1,1.75,2,1000.0,1
1,0.0,0,960.0,1
1,2.5,0,322.15965166908563,1
1,0.0,0,322.15965166908563,1
1,2.585,0,322.15965166908563,1
1,6.5,0,322.15965166908563,1
1,4.0,4,99.0,1
1,1.75,5,690.0,1
1,0.585,4,322.15965166908563,1
1,0.125,5,322.15965166908563,1
1,1.5,1,234.0,1
1,2.25,5,500.0,1
1,1.29,1,800.0,1
1,1.75,10,990.0,0
1,2.415,0,322.15965166908563,0
1,2.5,0,322.15965166908563,0
1,0.21,0,322.15965166908563,0
1,1.0,0,1584.0,0
1,6.75,3,50.0,0
1,0.21,1,90.0,0
1,2.75,0,1.0,0
1,1.75,0,322.15965166908563,0
1,0.75,0,322.15965166908563,0
1,0.0,0,1.0,0
1,7.5,0,322.15965166908563,0
1,0.0,0,322.15965166908563,0
1,0.0,0,322.15965166908563,0
1,3.75,0,322.15965166908563,0
1,0.25,0,322.15965166908563,0
1,0.54,0,340.0,0
1,2.0,0,20.0,0
1,1.0,0,200.0,0
1,0.835,0,322.15965166908563,0
1,1.165,0,322.15965166908563,0
1,0.5,10,28.0,0
1,1.5,0,322.15965166908563,0
1,2.625,6,347.0,0
1,1.875,6,327.0,1
1,0.75,7,1584.0,1
1,10.0,0,322.15965166908563,1
1,10.0,1,109.0,1
1,0.0,11,1249.0,1
1,5.375,9,134.0,1
1,4.0,14,1344.0,1
1,0.75,4,321.0,1
1,0.21,6,948.0,1
1,7.5,2,322.15965166908563,1
1,1.085,16,1584.0,1
1,0.04,0,1584.0,1
1,2.29,7,1584.0,1
1,3.5,6,458.0,1
1,1.25,0,1584.0,1
1,1.415,0,200.0,1
1,1.585,0,322.15965166908563,1
1,10.0,0,322.15965166908563,1
1,0.04,0,322.15965166908563,1
1,2.125,11,284.0,1
1,0.875,0,322.15965166908563,1
1,0.375,8,162.0,1
1,0.75,4,1583.0,1
1,1.75,5,58.0,1
1,1.085,8,1.0,1
1,0.04,1,59.0,1
1,0.0,11,1400.0,1
1,1.0,4,1465.0,1
1,3.25,1,1584.0,1
1,1.75,11,540.0,1
1,1.0,3,322.15965166908563,1
1,1.5,10,1584.0,1
1,1.29,5,1097.0,1
